Gender,Scalp_Type,Texture,Thickness,Environment,Dandruff,Hairfall,Frizz,Color_Treated,Routine
Female,Normal,Coily,Medium,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Female,Normal,Wavy,Medium,Moderate,Yes,No,No,Yes,Anti-Dandruff
Male,Oily,Curly,Fine,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Female,Dry,Straight,Thick,Dry,No,Yes,No,Yes,Hairfall Control
Male,Dry,Coily,Medium,Dry,No,No,No,Yes,Color Protect
Female,Normal,Wavy,Medium,Dry,No,No,Yes,Yes,Color Protect
Male,Normal,Coily,Thick,Humid,Yes,No,No,Yes,Anti-Dandruff
Male,Dry,Coily,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Curly,Thick,Dry,Yes,Yes,No,Yes,Anti-Dandruff
Female,Oily,Curly,Fine,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Male,Dry,Wavy,Medium,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Normal,Coily,Medium,Humid,No,Yes,No,Yes,Hairfall Control
Female,Oily,Coily,Thick,Humid,No,No,No,Yes,Color Protect
Female,Oily,Curly,Medium,Dry,No,No,No,Yes,Color Protect
Female,Dry,Wavy,Medium,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Curly,Medium,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Dry,Coily,Medium,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Coily,Thick,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Coily,Medium,Humid,No,Yes,Yes,No,Hairfall Control
Female,Oily,Wavy,Thick,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Dry,Wavy,Medium,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Female,Oily,Wavy,Fine,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Coily,Medium,Moderate,Yes,No,No,No,Anti-Dandruff
Female,Oily,Curly,Medium,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Male,Oily,Coily,Medium,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Coily,Fine,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Straight,Fine,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Curly,Medium,Moderate,No,Yes,No,No,Hairfall Control
Male,Normal,Coily,Thick,Moderate,No,No,Yes,Yes,Color Protect
Male,Dry,Straight,Thick,Humid,No,No,No,Yes,Color Protect
Female,Dry,Wavy,Thick,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Wavy,Fine,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Normal,Curly,Thick,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Dry,Curly,Fine,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Female,Dry,Wavy,Thick,Moderate,Yes,No,Yes,No,Anti-Dandruff
Female,Dry,Straight,Fine,Humid,No,No,Yes,Yes,Color Protect
Female,Normal,Straight,Fine,Dry,No,Yes,Yes,No,Hairfall Control
Female,Dry,Curly,Fine,Humid,Yes,No,No,No,Anti-Dandruff
Male,Dry,Curly,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Normal,Wavy,Medium,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Coily,Medium,Dry,No,No,Yes,Yes,Color Protect
Male,Dry,Wavy,Medium,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Straight,Fine,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Female,Dry,Straight,Medium,Humid,No,No,No,Yes,Color Protect
Female,Dry,Curly,Thick,Dry,Yes,No,No,No,Anti-Dandruff
Female,Oily,Wavy,Fine,Moderate,No,No,No,No,Daily Volume
Female,Normal,Coily,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Normal,Wavy,Fine,Humid,No,No,No,No,Daily Volume
Female,Oily,Straight,Medium,Dry,Yes,No,No,No,Anti-Dandruff
Male,Oily,Coily,Fine,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Wavy,Thick,Dry,Yes,No,No,No,Anti-Dandruff
Male,Dry,Curly,Thick,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Wavy,Thick,Moderate,No,Yes,No,Yes,Hairfall Control
Male,Oily,Straight,Fine,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Female,Dry,Wavy,Thick,Dry,No,No,No,Yes,Color Protect
Male,Oily,Wavy,Fine,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Male,Normal,Straight,Fine,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Male,Dry,Wavy,Fine,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Curly,Thick,Moderate,No,No,No,No,Frizz Control & Moisture
Female,Normal,Coily,Fine,Dry,No,Yes,No,No,Hairfall Control
Male,Oily,Straight,Thick,Humid,No,No,No,No,Daily Volume
Male,Oily,Wavy,Fine,Humid,No,Yes,No,No,Hairfall Control
Female,Dry,Curly,Medium,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Straight,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Dry,Straight,Fine,Humid,No,Yes,Yes,No,Hairfall Control
Female,Oily,Wavy,Fine,Dry,No,No,No,No,Daily Volume
Female,Dry,Curly,Fine,Humid,No,No,Yes,Yes,Color Protect
Male,Normal,Coily,Thick,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Oily,Wavy,Fine,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Male,Normal,Straight,Thick,Humid,No,No,No,Yes,Color Protect
Female,Dry,Wavy,Thick,Humid,No,No,No,Yes,Color Protect
Female,Oily,Coily,Thick,Humid,No,No,No,Yes,Color Protect
Female,Oily,Curly,Medium,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Straight,Medium,Dry,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Straight,Fine,Dry,No,Yes,No,Yes,Hairfall Control
Female,Normal,Coily,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Coily,Medium,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Male,Dry,Curly,Thick,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Normal,Curly,Thick,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Dry,Straight,Fine,Humid,No,No,No,Yes,Color Protect
Female,Dry,Wavy,Fine,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Straight,Medium,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Normal,Coily,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Male,Oily,Coily,Thick,Humid,Yes,No,Yes,No,Anti-Dandruff
Male,Oily,Straight,Medium,Humid,No,Yes,No,No,Hairfall Control
Male,Dry,Straight,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Male,Oily,Curly,Thick,Moderate,No,Yes,Yes,No,Hairfall Control
Male,Normal,Curly,Thick,Moderate,No,No,No,No,Frizz Control & Moisture
Female,Oily,Coily,Medium,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Curly,Medium,Dry,No,Yes,No,Yes,Hairfall Control
Female,Normal,Wavy,Medium,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Wavy,Medium,Humid,No,No,No,Yes,Color Protect
Female,Dry,Straight,Fine,Moderate,Yes,No,No,No,Anti-Dandruff
Female,Dry,Wavy,Thick,Moderate,No,Yes,No,No,Hairfall Control
Male,Oily,Coily,Medium,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Curly,Medium,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Coily,Fine,Dry,Yes,No,No,Yes,Anti-Dandruff
Male,Oily,Straight,Medium,Humid,No,No,No,Yes,Color Protect
Male,Dry,Wavy,Medium,Humid,No,Yes,No,No,Hairfall Control
Female,Oily,Curly,Medium,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Wavy,Medium,Humid,Yes,Yes,No,No,Anti-Dandruff
Male,Oily,Curly,Fine,Moderate,No,No,Yes,Yes,Color Protect
Male,Normal,Straight,Fine,Humid,Yes,No,Yes,No,Anti-Dandruff
Male,Dry,Straight,Medium,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Male,Normal,Curly,Medium,Dry,Yes,Yes,No,Yes,Anti-Dandruff
Female,Oily,Straight,Medium,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Straight,Medium,Humid,Yes,No,No,Yes,Anti-Dandruff
Male,Normal,Wavy,Medium,Humid,Yes,No,Yes,No,Anti-Dandruff
Male,Oily,Straight,Thick,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Male,Dry,Curly,Fine,Dry,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Curly,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Wavy,Fine,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Normal,Coily,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Normal,Wavy,Medium,Moderate,Yes,No,Yes,No,Anti-Dandruff
Female,Dry,Straight,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Curly,Medium,Dry,No,No,No,Yes,Color Protect
Female,Dry,Curly,Fine,Moderate,No,No,No,Yes,Color Protect
Male,Normal,Curly,Thick,Dry,No,No,No,Yes,Color Protect
Male,Oily,Wavy,Fine,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Straight,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Coily,Medium,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Curly,Fine,Moderate,No,Yes,Yes,No,Hairfall Control
Male,Normal,Wavy,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Oily,Coily,Thick,Dry,Yes,No,No,Yes,Anti-Dandruff
Male,Dry,Straight,Medium,Moderate,Yes,No,No,Yes,Anti-Dandruff
Male,Normal,Straight,Medium,Humid,Yes,Yes,No,No,Anti-Dandruff
Male,Normal,Curly,Medium,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Wavy,Thick,Dry,No,Yes,Yes,No,Hairfall Control
Female,Oily,Coily,Thick,Humid,No,Yes,Yes,No,Hairfall Control
Male,Dry,Wavy,Fine,Humid,No,No,No,No,Frizz Control & Moisture
Female,Dry,Wavy,Thick,Humid,No,No,No,No,Frizz Control & Moisture
Male,Oily,Coily,Fine,Moderate,Yes,Yes,No,Yes,Anti-Dandruff
Male,Normal,Coily,Fine,Humid,No,No,No,No,Frizz Control & Moisture
Male,Dry,Curly,Fine,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Female,Normal,Curly,Fine,Moderate,No,Yes,No,Yes,Hairfall Control
Male,Normal,Wavy,Fine,Moderate,No,Yes,No,Yes,Hairfall Control
Female,Normal,Coily,Medium,Dry,No,No,Yes,Yes,Color Protect
Female,Normal,Coily,Thick,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Coily,Thick,Humid,No,No,Yes,No,Frizz Control & Moisture
Male,Dry,Coily,Medium,Moderate,Yes,No,No,No,Anti-Dandruff
Male,Normal,Wavy,Thick,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Normal,Wavy,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Dry,Curly,Medium,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Oily,Straight,Medium,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Female,Dry,Straight,Fine,Moderate,No,Yes,Yes,No,Hairfall Control
Male,Dry,Coily,Fine,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Coily,Fine,Moderate,Yes,No,Yes,No,Anti-Dandruff
Male,Oily,Coily,Medium,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Curly,Thick,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Wavy,Medium,Moderate,No,No,No,Yes,Color Protect
Female,Oily,Wavy,Medium,Moderate,Yes,No,Yes,No,Anti-Dandruff
Male,Oily,Curly,Fine,Dry,No,Yes,No,No,Hairfall Control
Female,Normal,Curly,Thick,Humid,No,No,No,Yes,Color Protect
Male,Oily,Curly,Medium,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Wavy,Fine,Humid,No,No,No,No,Daily Volume
Female,Dry,Straight,Medium,Dry,No,No,No,No,Frizz Control & Moisture
Female,Normal,Curly,Thick,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Coily,Fine,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Dry,Wavy,Medium,Humid,No,Yes,Yes,No,Hairfall Control
Male,Normal,Straight,Fine,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Oily,Straight,Thick,Dry,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Curly,Fine,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Straight,Medium,Dry,No,Yes,No,No,Hairfall Control
Male,Normal,Coily,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Coily,Thick,Dry,No,Yes,No,Yes,Hairfall Control
Male,Normal,Coily,Medium,Moderate,No,No,No,No,Frizz Control & Moisture
Male,Normal,Wavy,Thick,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Normal,Coily,Medium,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Straight,Fine,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Dry,Straight,Medium,Humid,Yes,No,No,No,Anti-Dandruff
Female,Oily,Coily,Medium,Dry,No,No,Yes,Yes,Color Protect
Female,Oily,Straight,Thick,Humid,No,Yes,No,No,Hairfall Control
Male,Dry,Coily,Medium,Humid,No,No,No,No,Frizz Control & Moisture
Female,Oily,Wavy,Thick,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Curly,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Female,Dry,Coily,Fine,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Straight,Fine,Dry,No,No,No,No,Daily Volume
Female,Normal,Wavy,Fine,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Coily,Fine,Moderate,No,No,No,Yes,Color Protect
Male,Oily,Curly,Medium,Moderate,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Coily,Thick,Moderate,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Coily,Fine,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Male,Normal,Curly,Fine,Humid,No,Yes,Yes,No,Hairfall Control
Female,Normal,Curly,Medium,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Straight,Fine,Moderate,Yes,No,Yes,No,Anti-Dandruff
Male,Normal,Curly,Fine,Humid,No,No,Yes,Yes,Color Protect
Male,Normal,Coily,Thick,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Wavy,Thick,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Wavy,Fine,Moderate,No,No,Yes,No,Frizz Control & Moisture
Male,Oily,Curly,Medium,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Dry,Straight,Thick,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Curly,Fine,Dry,No,No,Yes,Yes,Color Protect
Female,Oily,Wavy,Fine,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Coily,Thick,Humid,No,No,Yes,Yes,Color Protect
Male,Dry,Coily,Medium,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Dry,Coily,Thick,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Wavy,Thick,Moderate,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Straight,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Female,Oily,Straight,Fine,Moderate,Yes,No,Yes,No,Anti-Dandruff
Female,Dry,Wavy,Medium,Moderate,No,Yes,No,No,Hairfall Control
Male,Normal,Straight,Medium,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Coily,Thick,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Coily,Fine,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Normal,Straight,Thick,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Straight,Thick,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Dry,Curly,Thick,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Curly,Medium,Humid,Yes,No,No,No,Anti-Dandruff
Female,Dry,Curly,Thick,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Oily,Curly,Fine,Moderate,No,No,Yes,No,Frizz Control & Moisture
Female,Normal,Straight,Fine,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Wavy,Thick,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Female,Oily,Wavy,Fine,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Dry,Coily,Fine,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Wavy,Thick,Dry,No,Yes,No,Yes,Hairfall Control
Female,Oily,Straight,Medium,Moderate,No,No,Yes,Yes,Color Protect
Male,Normal,Curly,Thick,Humid,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Curly,Thick,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Dry,Curly,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Curly,Fine,Dry,No,No,No,No,Frizz Control & Moisture
Male,Dry,Wavy,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Wavy,Fine,Humid,No,No,No,Yes,Color Protect
Female,Oily,Curly,Thick,Moderate,No,No,No,Yes,Color Protect
Female,Oily,Straight,Thick,Humid,No,Yes,Yes,Yes,Hairfall Control
Male,Oily,Straight,Medium,Dry,No,No,Yes,Yes,Color Protect
Male,Dry,Coily,Thick,Dry,Yes,Yes,No,Yes,Anti-Dandruff
Male,Oily,Coily,Medium,Moderate,No,No,No,No,Frizz Control & Moisture
Female,Dry,Coily,Thick,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Straight,Medium,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Female,Dry,Straight,Fine,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Straight,Thick,Humid,No,No,Yes,Yes,Color Protect
Male,Normal,Curly,Thick,Moderate,Yes,No,No,No,Anti-Dandruff
Female,Oily,Straight,Fine,Moderate,No,No,No,No,Daily Volume
Male,Dry,Curly,Thick,Dry,No,No,Yes,Yes,Color Protect
Male,Dry,Coily,Medium,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Dry,Wavy,Medium,Humid,Yes,No,Yes,No,Anti-Dandruff
Female,Oily,Straight,Medium,Moderate,Yes,No,Yes,No,Anti-Dandruff
Male,Normal,Coily,Thick,Humid,Yes,No,Yes,No,Anti-Dandruff
Male,Dry,Straight,Medium,Moderate,Yes,No,No,No,Anti-Dandruff
Male,Oily,Curly,Thick,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Male,Normal,Straight,Medium,Dry,No,Yes,No,No,Hairfall Control
Male,Normal,Wavy,Thick,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Wavy,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Curly,Fine,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Wavy,Fine,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Straight,Fine,Humid,No,Yes,No,No,Hairfall Control
Male,Dry,Coily,Fine,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Wavy,Medium,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Curly,Fine,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Straight,Medium,Dry,No,No,No,Yes,Color Protect
Female,Normal,Coily,Medium,Moderate,No,Yes,No,Yes,Hairfall Control
Female,Normal,Straight,Thick,Dry,No,No,Yes,Yes,Color Protect
Female,Normal,Wavy,Fine,Moderate,No,Yes,No,No,Hairfall Control
Male,Oily,Straight,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Oily,Straight,Medium,Dry,Yes,Yes,No,Yes,Anti-Dandruff
Male,Normal,Curly,Thick,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Female,Dry,Curly,Fine,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Male,Normal,Curly,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Oily,Curly,Thick,Dry,No,Yes,No,Yes,Hairfall Control
Female,Normal,Curly,Fine,Humid,No,Yes,Yes,No,Hairfall Control
Male,Oily,Coily,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Coily,Medium,Humid,No,Yes,Yes,Yes,Hairfall Control
Male,Dry,Straight,Medium,Dry,No,No,No,No,Frizz Control & Moisture
Male,Dry,Curly,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Female,Oily,Straight,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Oily,Wavy,Thick,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Coily,Fine,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Wavy,Thick,Humid,Yes,Yes,No,No,Anti-Dandruff
Female,Normal,Straight,Medium,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Male,Normal,Coily,Medium,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Wavy,Medium,Moderate,No,No,Yes,Yes,Color Protect
Male,Normal,Straight,Thick,Dry,No,No,No,No,Daily Volume
Female,Dry,Coily,Medium,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Straight,Fine,Dry,No,No,Yes,Yes,Color Protect
Male,Dry,Wavy,Fine,Dry,No,Yes,No,Yes,Hairfall Control
Female,Dry,Coily,Medium,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Female,Dry,Straight,Fine,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Straight,Medium,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Straight,Medium,Humid,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Curly,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Dry,Wavy,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Coily,Thick,Humid,No,No,No,No,Frizz Control & Moisture
Male,Normal,Straight,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Male,Normal,Coily,Fine,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Coily,Thick,Humid,No,No,No,Yes,Color Protect
Female,Dry,Wavy,Fine,Dry,No,Yes,Yes,No,Hairfall Control
Male,Normal,Coily,Medium,Humid,No,No,No,No,Frizz Control & Moisture
Female,Normal,Coily,Fine,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Normal,Wavy,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Wavy,Fine,Moderate,Yes,Yes,No,No,Anti-Dandruff
Female,Dry,Straight,Fine,Dry,No,Yes,No,Yes,Hairfall Control
Male,Dry,Straight,Medium,Humid,No,No,No,Yes,Color Protect
Female,Dry,Straight,Thick,Dry,No,Yes,No,Yes,Hairfall Control
Female,Normal,Straight,Medium,Dry,No,No,Yes,No,Frizz Control & Moisture
Male,Dry,Curly,Fine,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Normal,Coily,Medium,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Wavy,Thick,Moderate,No,Yes,Yes,No,Hairfall Control
Male,Oily,Straight,Thick,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Male,Oily,Straight,Fine,Moderate,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Oily,Coily,Fine,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Male,Normal,Curly,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Dry,Curly,Fine,Moderate,No,Yes,Yes,No,Hairfall Control
Male,Dry,Wavy,Medium,Humid,No,Yes,Yes,No,Hairfall Control
Female,Normal,Coily,Fine,Humid,Yes,No,Yes,Yes,Anti-Dandruff
Male,Normal,Straight,Fine,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Female,Normal,Curly,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Dry,Straight,Medium,Dry,No,No,Yes,Yes,Color Protect
Male,Oily,Coily,Thick,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Dry,Wavy,Fine,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Curly,Medium,Humid,No,Yes,Yes,No,Hairfall Control
Female,Oily,Coily,Fine,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Curly,Fine,Humid,No,Yes,No,Yes,Hairfall Control
Male,Oily,Straight,Thick,Humid,No,No,No,Yes,Color Protect
Female,Dry,Curly,Fine,Humid,No,Yes,No,Yes,Hairfall Control
Female,Oily,Curly,Fine,Dry,Yes,No,No,Yes,Anti-Dandruff
Female,Normal,Curly,Medium,Humid,No,Yes,Yes,No,Hairfall Control
Female,Normal,Curly,Thick,Moderate,No,No,No,No,Frizz Control & Moisture
Female,Oily,Straight,Fine,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Normal,Wavy,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Normal,Coily,Fine,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Male,Normal,Coily,Thick,Moderate,No,No,No,No,Frizz Control & Moisture
Female,Oily,Coily,Medium,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Dry,Straight,Thick,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Oily,Wavy,Fine,Humid,No,Yes,No,No,Hairfall Control
Male,Normal,Wavy,Fine,Humid,No,No,Yes,Yes,Color Protect
Female,Normal,Coily,Medium,Dry,No,No,No,Yes,Color Protect
Female,Normal,Straight,Fine,Humid,No,Yes,Yes,No,Hairfall Control
Female,Dry,Wavy,Thick,Dry,No,Yes,Yes,No,Hairfall Control
Male,Normal,Curly,Thick,Moderate,No,Yes,Yes,Yes,Hairfall Control
Male,Dry,Straight,Thick,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Male,Dry,Coily,Thick,Humid,No,No,Yes,Yes,Color Protect
Female,Dry,Curly,Thick,Humid,No,Yes,No,Yes,Hairfall Control
Male,Dry,Coily,Fine,Moderate,No,No,Yes,Yes,Color Protect
Male,Normal,Coily,Thick,Moderate,No,Yes,No,Yes,Hairfall Control
Male,Normal,Curly,Fine,Dry,No,No,No,Yes,Color Protect
Male,Dry,Curly,Thick,Humid,No,No,No,Yes,Color Protect
Male,Dry,Curly,Thick,Dry,Yes,No,Yes,Yes,Anti-Dandruff
Male,Dry,Wavy,Thick,Humid,Yes,No,Yes,No,Anti-Dandruff
Female,Dry,Wavy,Fine,Dry,No,Yes,No,Yes,Hairfall Control
Female,Dry,Wavy,Thick,Humid,No,Yes,No,No,Hairfall Control
Male,Oily,Coily,Medium,Moderate,Yes,No,No,No,Anti-Dandruff
Male,Normal,Coily,Fine,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Female,Oily,Curly,Thick,Dry,Yes,Yes,Yes,Yes,Anti-Dandruff
Male,Dry,Coily,Thick,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
